time,temp,rh,wind,winddir,pressure
2/12/2020 3:04,10.18,27.11,0.686,263.2,973.2954
2/12/2020 3:04,10.08,27.11,0.686,246,972.9643
2/12/2020 3:04,10.08,27.11,0.686,267.6,972.7987
2/12/2020 3:04,10.11,27.18,0.98,316.2,973.0471
2/12/2020 3:04,10.11,27.25,1.568,293.3,973.5437
2/12/2020 3:04,10.04,27.28,2.156,299.6,973.5437
2/12/2020 3:04,10.01,27.28,3.038,296,973.5437
2/12/2020 3:04,10.01,27.38,3.234,316,973.4609
2/12/2020 3:04,10.04,27.42,3.234,308.1,973.2954
2/12/2020 3:04,9.97,27.35,3.136,290.2,972.7987
2/12/2020 3:04,10.01,27.42,3.136,296.2,972.8815
2/12/2020 3:04,9.87,27.42,3.038,290.1,973.1298
2/12/2020 3:04,9.91,27.38,2.646,312.8,973.4609
2/12/2020 3:04,9.91,27.45,2.45,276.2,973.5437
2/12/2020 3:04,9.91,27.49,2.058,264.4,973.4609
2/12/2020 3:04,9.87,27.42,2.352,289.5,973.1298
2/12/2020 3:04,9.94,27.49,2.548,304.6,973.2954
2/12/2020 3:04,9.87,27.49,3.038,298.1,972.7987
2/12/2020 3:04,9.87,27.52,3.332,306.8,972.8815
2/12/2020 3:04,9.84,27.56,3.724,310.4,973.1298
2/12/2020 3:04,9.87,27.63,3.332,318.2,973.4609
2/12/2020 3:04,9.77,27.63,2.744,297,973.6265
2/12/2020 3:04,9.84,27.63,2.646,313.3,973.4609
2/12/2020 3:04,9.77,27.73,2.45,336,973.2126
2/12/2020 3:04,9.7,27.73,1.666,351.3,972.7987
2/12/2020 3:04,9.77,27.69,1.176,338.3,972.7987
2/12/2020 3:04,9.7,27.76,0.98,294.4,973.0471
2/12/2020 3:04,9.66,27.8,1.666,313.5,973.2126
2/12/2020 3:04,9.77,27.87,3.136,311.4,973.4609
2/12/2020 3:04,9.66,27.87,4.312,296.3,973.6265
2/12/2020 3:04,9.63,27.83,4.9,320.4,973.3782
2/12/2020 3:04,9.59,27.97,4.41,307.8,973.2126
2/12/2020 3:04,9.63,27.94,4.018,305.3,972.7987
2/12/2020 3:04,9.59,28,3.92,308.3,972.7987
2/12/2020 3:04,9.56,28,3.724,304.4,973.2954
2/12/2020 3:04,9.59,28.11,3.724,320.1,973.4609
2/12/2020 3:04,9.56,28.11,3.92,322.3,973.4609
2/12/2020 3:04,9.53,28.11,3.43,328.1,973.7092
2/12/2020 3:04,9.56,28.21,2.744,298.4,973.2954
2/12/2020 3:04,9.49,28.21,2.254,272.9,973.0471
2/12/2020 3:04,9.49,28.25,2.352,303.6,972.7987
2/12/2020 3:04,9.49,28.21,3.136,313,972.7987
2/12/2020 3:04,9.53,28.32,3.528,301.6,973.3782
2/12/2020 3:04,9.46,28.35,2.842,300.6,973.4609
2/12/2020 3:04,9.42,28.35,3.038,314.1,973.6265
2/12/2020 3:04,9.39,28.38,3.332,314.3,973.4609
2/12/2020 3:05,9.39,28.38,3.92,293.8,973.3782
2/12/2020 3:05,9.39,28.49,3.724,291.4,973.2954
2/12/2020 3:05,9.39,28.49,3.626,312.9,973.0471
2/12/2020 3:05,9.35,28.49,4.116,312,972.7987
2/12/2020 3:05,9.35,28.52,3.92,295.9,973.3782
2/12/2020 3:05,9.32,28.56,3.626,304.7,973.4609
2/12/2020 3:05,9.28,28.52,3.528,291.4,973.6265
2/12/2020 3:05,9.32,28.63,3.332,308.8,973.5437
2/12/2020 3:05,9.28,28.63,3.038,306.9,973.0471
2/12/2020 3:05,9.28,28.66,2.842,303.8,972.7987
2/12/2020 3:05,9.22,28.73,2.842,321.8,972.8815
2/12/2020 3:05,9.25,28.63,2.548,310.8,972.7987
2/12/2020 3:05,9.25,28.73,2.254,295.1,973.3782
2/12/2020 3:05,9.22,28.8,2.156,312,973.4609
2/12/2020 3:05,9.22,28.87,2.744,311.8,973.6265
2/12/2020 3:05,9.25,28.76,2.646,297.3,973.4609
2/12/2020 3:05,9.18,28.9,2.45,309.4,973.0471
2/12/2020 3:05,9.11,28.94,1.96,306.7,972.7987
2/12/2020 3:05,9.11,28.9,1.568,279.4,972.9643
2/12/2020 3:05,9.01,29.01,1.568,274.1,973.1298
2/12/2020 3:05,9.08,29.07,1.274,265.3,973.4609
2/12/2020 3:05,9.08,29.04,1.078,254.8,973.4609
2/12/2020 3:05,9.01,29.07,0.784,259.6,973.6265
2/12/2020 3:05,9.01,29.07,0.882,291.2,973.4609
2/12/2020 3:05,9.01,29.14,1.764,305.1,972.8815
2/12/2020 3:05,9.04,29.07,2.352,292.8,972.7987
2/12/2020 3:05,8.94,29.14,2.45,302.6,972.8815
2/12/2020 3:05,8.97,29.07,2.45,298.6,973.1298
2/12/2020 3:05,8.94,29.18,2.646,295.2,973.5437
2/12/2020 3:05,8.9,29.21,2.842,308,973.6265
2/12/2020 3:05,8.9,29.25,2.744,299.9,973.6265
2/12/2020 3:05,8.97,29.32,2.646,301.2,973.4609
2/12/2020 3:05,8.87,29.35,2.94,305,972.9643
2/12/2020 3:05,8.9,29.32,3.038,316.9,972.7987
2/12/2020 3:05,8.87,29.38,3.332,318.4,972.8815
2/12/2020 3:05,8.84,29.38,3.43,315.5,973.2126
2/12/2020 3:05,8.87,29.56,3.038,308.8,973.6265
2/12/2020 3:05,8.8,29.45,3.136,312.9,973.6265
2/12/2020 3:05,8.77,29.49,2.548,332,973.4609
2/12/2020 3:05,8.77,29.49,2.352,327.4,973.0471
2/12/2020 3:05,8.73,29.56,2.254,323.6,972.8815
2/12/2020 3:05,8.73,29.63,1.96,312.5,972.7987
2/12/2020 3:05,8.8,29.69,1.666,283.5,972.9643
2/12/2020 3:05,8.77,29.66,1.47,281.9,973.2954
2/12/2020 3:05,8.66,29.69,1.176,291.3,973.6265
2/12/2020 3:05,8.7,29.76,1.372,285.6,973.6265
2/12/2020 3:05,8.66,29.76,1.372,258.6,973.4609
2/12/2020 3:05,8.63,29.73,1.764,238.5,972.9643
2/12/2020 3:05,8.63,29.83,1.666,240.2,972.7987
2/12/2020 3:05,8.59,29.8,1.666,255.7,972.8815
2/12/2020 3:05,8.63,29.83,1.47,273.1,973.1298
2/12/2020 3:05,8.53,29.87,1.568,309,973.3782
2/12/2020 3:05,8.53,29.87,2.548,322.8,973.6265
2/12/2020 3:05,8.56,29.94,3.43,309,973.6265
2/12/2020 3:05,8.53,29.97,3.822,308.1,973.3782
2/12/2020 3:05,8.59,30.07,3.724,305.4,972.9643
2/12/2020 3:05,8.46,30.07,3.626,304.6,972.7987
